OrderID,Date,Order_type ,Action,Indicator,Set_description,Number of Sets,Profit
daf1a799-8049-4f52-8d30-edb53c06d4b8,1960-09-07,Option,Buy,RSI,Buy 1 call option,100,-105835.1281357027,
1f274644-d78c-4ed0-8856-b44ff6b25c1d,1960-10-13,Option,Sell,RSI,Sell 1 put option,100,101964.73732990179,
12d685a9-0c87-44e6-ba42-348487372a44,1960-10-25,Option,Buy,RSI,Buy 1 call option,100,-16875.139269902647,
cf231262-4b72-445b-8939-765f685c092b,1960-12-14,Option,Sell,RSI,Sell 1 put option,100,106964.72229179805,
8db43f7a-210d-4078-9c4c-93e7845c8689,1960-12-20,Option,Buy,MAVG,Buy 3 call options,300,-93225.41947981039,
a028b7df-cdf3-48e5-8012-45d11bfe396e,1961-03-23,Dividend,Pay,Empty,Pay dividends to investors,1,0.0,
2e7457e8-54f9-415f-855e-20f8c31befdf,1960-12-28,Option,Sell,RSI,Sell 1 put option,100,109004.71781040895,
02372851-d3dd-43dc-952e-9ed3018847d3,1961-01-06,Option,Sell,RSI,Sell 1 put option,100,110364.71353689257,
150b316c-1daf-44ec-a208-cad0e76b5253,1961-03-22,Option,Sell,RSI,Sell 1 put option,100,123134.70004650243,
bebfe14e-fbaf-43bd-b5d6-577833418c7b,1961-03-29,Option,Sell,RSI,Sell 1 put option,100,123644.70108599761,
f5073478-0a3b-4e26-a793-75ba1c195514,1961-05-02,Option,Buy,RSI,Buy 1 call option,100,-116355.12421560446,
3ab985a8-8efd-4360-bc01-0f46a211ad4b,1961-05-09,Option,Sell,RSI,Sell 1 put option,100,127034.69013660218,
6b5cdec3-71f0-4498-8d4a-e2bfd3a64d7b,1961-06-20,Option,Buy,RSI,Buy 1 call option,100,-106915.18525509717,
00291683-b8b3-42ee-a90f-5e1bed46d47a,1961-06-23,Option,Buy,RSI,Buy 1 call option,100,-109285.2147468948,
8780eecf-0fcf-469f-ab05-6fef279b5bbc,1961-06-29,Option,Buy,RSI,Buy 1 call option,100,-106755.11354570217,
6e8e290a-2185-4d95-ad77-0cf6de02a0a8,1961-07-11,Option,Sell,RSI,Sell 1 put option,100,126414.69131469024,
b10672d7-6465-49a8-8652-fabc39b8d0f1,1961-07-21,Option,Buy,RSI,Buy 1 call option,100,-90855.19811949374,
f90447c6-f021-4ce6-b209-d9ae33f0e6d5,1961-07-28,Option,Sell,RSI,Sell 1 put option,100,128434.68775730494,
fe29d7a0-ef03-4e9b-9b7f-860edab15f99,1961-08-18,Option,Sell,RSI,Sell 1 put option,100,131234.6768078915,
202714ac-c20d-45e7-aa4f-60af7daf5cc7,1961-09-08,Option,Sell,RSI,Sell 1 put option,100,130034.67757021323,
6ccf789a-34b3-45cc-b1d0-7e7bccb28c69,1961-09-20,Option,Buy,RSI,Buy 1 call option,100,-87475.13461060502,
6413934d-bc82-43e6-b963-aaada77be342,1961-09-27,Option,Buy,RSI,Buy 1 call option,100,-84065.20405619347,
dc54e384-a0f7-4c1e-b807-fd99b4101f9d,1961-10-10,Option,Sell,RSI,Sell 1 put option,100,130784.68175128811,
1c607f28-ac42-48ab-9381-ff321d1c7aa4,1962-03-23,Dividend,Pay,Empty,Pay dividends to investors,1,0.0,
f1c54d27-ad13-46ca-95b1-9476cc55a609,1962-01-10,Option,Buy,RSI,Buy 1 call option,100,-134535.15779609443,
a9a5fccf-785d-4d0b-b07c-68c7ae500f70,1962-01-30,Option,Buy,RSI,Buy 1 call option,100,-132095.1531530061,
81031b33-e13a-4fe7-9535-e70d0f83a87c,1962-02-08,Option,Sell,RSI,Sell 1 put option,100,134954.68678710941,
e052003b-3e5e-4017-9ea8-98d18f6d20c1,1962-03-08,Option,Buy,RSI,Buy 1 call option,100,-135985.13314839802,
9aa8970b-3fb6-41c7-b943-19d75b5999fb,1962-03-15,Option,Sell,RSI,Sell 1 put option,100,136364.70605249,
563ef934-f845-41cb-8b4f-b23435986762,1962-03-21,Option,Sell,RSI,Sell 1 put option,100,135964.70801598715,
1e685508-d4e6-45b7-acd2-b1d6d6761147,1962-03-29,Option,Buy,RSI,Buy 1 call option,100,-137145.12085920083,
c935316a-2751-4566-a026-d239c461b522,1962-04-13,Option,Buy,RSI,Buy 1 call option,100,-132345.13335630123,
86549a29-f6f9-40d1-bb9c-2210abc766c4,1962-05-01,Option,Sell,PE,Buy 1 call option,100,-125645.13213200204,
582668f7-e7f6-4e62-92c7-3d1c747afad5,1962-05-01,Option,Buy,RSI,Buy 1 call option,100,-125645.13213200204,
28544d39-39f7-45cb-97be-2d20c0892bc2,1962-05-08,Option,Buy,RSI,Buy 1 call option,100,-127145.1342571972,
a336b2c0-4abb-4e9b-8126-f5ffce99c793,1962-06-06,Option,Buy,RSI,Buy 1 call option,91,-86427.37427614958,
507387ec-7912-4d24-88fb-5ffd62e40766,1962-06-15,Option,Buy,RSI,Buy 1 call option,96,-55876.949683584404,
1c1611a2-7fed-4c38-8d49-b250ffc36adc,1962-06-22,Option,Buy,RSI,Buy 1 call option,100,-48365.126174502024,
